,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000adult,unempr,grp,pref2,suicide,liver_disease,liver_disease_rate,year,loony,suicide_per_1000adult,loony_per_1000adult,liver_disease_1000,liver_disease_per_1000,pref_id,over65,total_population,cons_per_1000,over65rate,suicide_per_1000,loony_per_1000,grp_per_1000,birth_num,marriage_num,divorce_num,birth_rate,marriage_rate,divorce_rate
46,北海道,北海道,0.367041237,33153.49,25,4558,7.273692409,4.45,19245348,北海道,1080,313,6,26,6.1,0.236946029,0.001338306,0.06867047,0.06867047,0,27,5431,6.104490886,0.27,0.198858405,0.001123182,3543.610385,3160.416667,2204.75,934.3333333,0.581921684,0.405956546,0.172037071
47,青森,青  森,0.362293882,8915.695,25,1112,8.017711331,4.85,4619522,青  森,270,106,8,26,1,0.242805755,0.000899281,0.095323741,0.095323741,1,27.9,1335,6.678423221,0.279,0.202247191,0.000749064,3460.316105,756.4166667,474.3333333,196.3333333,0.566604245,0.355305868,0.147066167
48,岩手,岩  手,0.357212096,8135.14,25,1074,7.57461825,3.225,4827468,岩  手,341,81,6,26,1.4,0.317504655,0.001303538,0.075418994,0.075418994,2,28.7,1295,6.28196139,0.287,0.263320463,0.001081081,3727.774517,761.6666667,457.1666667,164.25,0.588159588,0.353024453,0.126833977
49,宮城,宮  城,0.354516036,13795.965,25,1917,7.196643192,4.05,9463594,宮  城,455,122,5,26,1.9,0.237350026,0.000991132,0.063641106,0.063641106,3,23.8,2328,5.926101804,0.238,0.195446735,0.000816151,4065.117698,1549.583333,1000.833333,343.9166667,0.665628579,0.429911226,0.147730527
50,秋田,秋  田,0.348033679,7195.235,25,889,8.093627672,4.025,3738794,秋  田,269,62,6,26,1.1,0.302587177,0.001237345,0.069741282,0.069741282,4,31.6,1050,6.852604762,0.316,0.256190476,0.001047619,3560.75619,515.9166667,326.9166667,122.4166667,0.491349206,0.311349206,0.116587302
51,山形,山  形,0.348714627,6956.53,25,943,7.377020148,3.175,4394280,山  形,243,71,6,26,1,0.257688229,0.001060445,0.075291622,0.075291622,5,29.1,1141,6.096871166,0.291,0.212971078,0.000876424,3851.253287,679.4166667,397.0833333,139.5833333,0.595457201,0.348013438,0.12233421
52,福島,福  島,0.348665777,11342.785,25,1599,7.093674171,3.45,7913225,福  島,421,113,6,26,2,0.263289556,0.001250782,0.070669168,0.070669168,6,26.9,1946,5.82876927,0.269,0.216341213,0.001027749,4066.405447,1218.833333,759.5,270.6666667,0.626327509,0.39028777,0.139088729
53,茨城,茨  城,0.358657314,13698.81,25,2406,5.693603491,3.8,12393167,茨  城,568,167,6,26,1.2,0.236076475,0.000498753,0.069409809,0.069409809,7,24.8,2931,4.673766633,0.248,0.193790515,0.000409417,4228.306721,1838,1202.916667,421.6666667,0.62708973,0.410411691,0.143864438
54,栃木,栃  木,0.359223743,9543.7,25,1632,5.847855392,3.625,9102214,栃  木,392,111,6,26,1,0.240196078,0.000612745,0.068014706,0.068014706,8,24.2,1986,4.805488419,0.242,0.197381672,0.000503525,4583.189325,1291.916667,846.25,295.25,0.650511917,0.426107754,0.14866566
55,群馬,群  馬,0.35930306,10200.805,25,1621,6.292908698,3.45,8393919,群  馬,396,107,6,26,2.1,0.244293646,0.001295497,0.066008637,0.066008637,9,25.8,1984,5.141534778,0.258,0.199596774,0.001058468,4230.805948,1221.25,752.8333333,289,0.615549395,0.379452285,0.145665323
56,埼玉,埼  玉,0.361063544,33955.19,25,5940,5.716361953,3.9,22183912,埼  玉,1337,349,5,26,2.7,0.225084175,0.000454545,0.058754209,0.058754209,10,23,7222,4.701632512,0.23,0.185128773,0.000373858,3071.713099,4757.416667,3059.5,1080.166667,0.6587395,0.423636112,0.149566141
57,新潟,新  潟,0.340000108,15133.725,25,1931,7.83724754,3.425,9371861,新  潟,542,143,6,26,1.9,0.280683584,0.000983946,0.074054894,0.074054894,11,28.1,2330,6.495160944,0.281,0.232618026,0.000815451,4022.25794,1419.333333,847.8333333,272.6666667,0.609155937,0.363876967,0.11702432
58,長野,長  野,0.352138424,11352.295,25,1732,6.554442841,3.35,8795415,長  野,436,132,6,26,1.9,0.251732102,0.001096998,0.076212471,0.076212471,12,28.3,2122,5.349809142,0.283,0.205466541,0.000895382,4144.870405,1343.75,830.0833333,281.8333333,0.633246937,0.391179705,0.132814954
59,千葉,千  葉,0.358901854,28923.895,25,5123,5.645890103,3.525,21383654,千  葉,1215,317,5,26,4.1,0.237165723,0.000800312,0.061877806,0.061877806,13,24.3,6192,4.671171673,0.243,0.19622093,0.000662145,3453.432494,3984.833333,2652.75,936.1666667,0.643545435,0.428415698,0.151189707
60,東京,東  京,0.368009814,90709.875,25,11259,8.056654676,3.975,98677205,東  京,2443,1057,8,26,9,0.21698197,0.000799361,0.093880451,0.093880451,14,21.9,13300,6.820291353,0.219,0.183684211,0.000676692,7419.338722,9109.083333,7456.333333,2047.5,0.684893484,0.560626566,0.153947368
61,神奈川,神奈川,0.362786078,43772.675,25,7487,5.846490584,3.75,32334343,神奈川,1552,514,6,26,9,0.207292641,0.001202084,0.068652331,0.068652331,15,22.4,9079,4.821310166,0.224,0.170943937,0.000991299,3561.443221,6130,4164.916667,1366.583333,0.675184492,0.458741785,0.15052135
62,山梨,山  梨,0.360002141,4207.265,25,695,6.053618705,3.1,3526208,山  梨,184,45,5,26,0.6,0.264748201,0.000863309,0.064748201,0.064748201,16,26.5,847,4.967255018,0.265,0.217237308,0.000708383,4163.173554,512.1666667,320.8333333,119.8333333,0.604683196,0.378787879,0.141479732
63,富山,富  山,0.353260848,5713.18,25,889,6.426524184,2.85,4658034,富  山,241,78,7,26,0.7,0.271091114,0.000787402,0.087739033,0.087739033,17,28.7,1076,5.30964684,0.287,0.223977695,0.000650558,4329.027881,642.4166667,401.75,126.25,0.597041512,0.373373606,0.117332714
64,石川,石  川,0.354048,5917.055,25,948,6.241619198,3.225,4962626,石  川,180,52,5,26,1.1,0.189873418,0.001160338,0.054852321,0.054852321,18,26.1,1159,5.105310613,0.261,0.155306299,0.000949094,4281.817084,783.5833333,456.1666667,149.25,0.676085706,0.393586425,0.128774806
65,福井,福  井,0.357528352,3866.81,25,644,6.004363354,2.525,3410407,福  井,133,39,5,26,0.7,0.206521739,0.001086957,0.060559006,0.060559006,19,27,795,4.86391195,0.27,0.167295597,0.000880503,4289.820126,534,316,95.41666667,0.671698113,0.397484277,0.120020964
66,岐阜,岐  阜,0.358248117,8766.135,25,1669,5.252327741,2.9,7652710,岐  阜,408,101,5,26,1,0.244457759,0.000599161,0.060515279,0.060515279,20,26.3,2051,4.274078498,0.263,0.198927353,0.000487567,3731.209166,1324,801.1666667,270.9166667,0.645538762,0.390622461,0.132090037
67,静岡,静  岡,0.360886726,17928.16,25,3051,5.876158637,3.075,17414087,静  岡,674,232,6,26,3.3,0.220911177,0.001081613,0.076040642,0.076040642,21,26,3723,4.81551437,0.26,0.181036798,0.000886382,4677.434059,2497.166667,1545.166667,561.8333333,0.670740442,0.41503268,0.150908765
68,愛知,愛  知,0.367274552,32446.685,25,6025,5.385341909,3.05,37837446,愛  知,1290,345,5,26,4.9,0.214107884,0.000813278,0.057261411,0.057261411,22,22.3,7443,4.359355771,0.223,0.173317211,0.000658337,5083.628376,5495.25,3575.916667,1089.416667,0.738311165,0.480440235,0.146367952
69,三重,三  重,0.35538055,8127.87,25,1496,5.433068182,2.8,9133379,三  重,310,97,5,26,2.2,0.207219251,0.001470588,0.064839572,0.064839572,23,26.2,1833,4.434189853,0.262,0.169121658,0.001200218,4982.749045,1199.666667,746.3333333,270.8333333,0.654482633,0.407164939,0.147754137
70,滋賀,滋  賀,0.351679681,5522.435,25,1134,4.869872134,2.85,6638253,滋  賀,254,72,5,26,1.2,0.223985891,0.001058201,0.063492063,0.063492063,24,22.5,1416,3.900024718,0.225,0.179378531,0.000847458,4688.03178,1081.916667,628.6666667,197.25,0.764065443,0.443973635,0.139300847
71,京都,京  都,0.364075879,13160.715,25,2169,6.06764177,3.675,10421062,京  都,450,143,6,26,2,0.20746888,0.000922084,0.065929,0.065929,25,25.8,2617,5.028931983,0.258,0.171952618,0.000764234,3982.064196,1658.583333,1079.5,379.0833333,0.633772768,0.412495224,0.144854159
72,大阪,大  阪,0.368116483,48817.035,25,7288,6.698275933,4.675,39289725,大  阪,1735,687,8,26,4.3,0.238062569,0.000590011,0.094264544,0.094264544,26,24.7,8849,5.516672505,0.247,0.196067352,0.000485931,4440.018646,5928.583333,4088.416667,1500.5,0.669972125,0.462020191,0.169567183
73,兵庫,兵  庫,0.361514059,26612.245,25,4545,5.855279428,3.975,20714454,兵  庫,1080,324,6,26,4.2,0.237623762,0.000924092,0.071287129,0.071287129,27,25.3,5558,4.788097337,0.253,0.194314502,0.000755668,3726.961857,3757.833333,2335.916667,839.3333333,0.67611251,0.420280077,0.151013554
74,奈良,奈  良,0.356485142,5641.33,25,1137,4.961591909,3.675,3788932,奈  良,234,80,6,26,0.9,0.205804749,0.000791557,0.070360598,0.070360598,28,26.7,1383,4.079052784,0.267,0.169197397,0.000650759,2739.647144,844.75,523.8333333,188.8333333,0.610809834,0.378765968,0.136538925
75,和歌山,和歌山,0.359117987,4915.605,25,809,6.076149567,2.925,3796642,和歌山,168,65,7,26,0.8,0.207663782,0.000988875,0.080346106,0.080346106,29,29.4,979,5.021046987,0.294,0.171603677,0.00081716,3878.081716,589.1666667,389.5833333,159.5,0.601804563,0.397940075,0.162921348
76,鳥取,鳥  取,0.351376832,3160.49,25,475,6.653663158,3.15,1982186,鳥  取,109,45,8,26,0.6,0.229473684,0.001263158,0.094736842,0.094736842,30,28.2,578,5.467975779,0.282,0.188581315,0.001038062,3429.387543,396.6666667,229.3333333,83.91666667,0.68627451,0.396770473,0.145184544
77,島根,島  根,0.347086289,4027.505,25,579,6.955967185,2.775,2547987,島  根,141,54,8,26,0.8,0.243523316,0.001381693,0.093264249,0.093264249,31,30.9,702,5.73718661,0.309,0.200854701,0.001139601,3629.611111,462.4166667,253.6666667,86.5,0.6587132,0.361348528,0.123219373
78,岡山,岡  山,0.353838929,8932.535,25,1578,5.660668568,3.575,8067164,岡  山,324,111,6,26,2.4,0.205323194,0.001520913,0.070342205,0.070342205,32,27.1,1930,4.628256477,0.271,0.167875648,0.001243523,4179.87772,1337.666667,801.25,282.1666667,0.693091537,0.41515544,0.146200345
79,広島,広  島,0.361060725,15189.99,25,2322,6.541770026,3.4,11652813,広  島,543,183,7,26,2.1,0.233850129,0.000904393,0.07881137,0.07881137,33,26.2,2840,5.348588028,0.262,0.191197183,0.000739437,4103.103169,2033.75,1217.416667,424.3333333,0.716109155,0.42866784,0.149413146
80,山口,山  口,0.360970436,7505.215,25,1178,6.371150255,3.325,6344195,山  口,267,96,7,26,1,0.226655348,0.000848896,0.081494058,0.081494058,34,30.2,1420,5.285362676,0.302,0.188028169,0.000704225,4467.742958,885.3333333,538,211.25,0.623474178,0.378873239,0.148767606
81,徳島,徳  島,0.358706377,3696.47,25,639,5.784773083,3.55,3143054,徳  島,151,67,9,26,0.9,0.236306729,0.001408451,0.10485133,0.10485133,35,29.1,770,4.80061039,0.291,0.196103896,0.001168831,4081.888312,465.5,287.0833333,103.4166667,0.604545455,0.372835498,0.134307359
82,香川,香  川,0.359621516,4633.325,25,811,5.71310111,3.2,3938544,香  川,169,65,7,26,0.7,0.20838471,0.000863132,0.080147965,0.080147965,36,28.1,985,4.703883249,0.281,0.171573604,0.00071066,3998.521827,668.6666667,403.6666667,145.25,0.678849408,0.409813875,0.147461929
83,愛媛,愛  媛,0.363063745,7089.91,25,1160,6.111991379,3.35,5183896,愛  媛,284,92,7,26,1.2,0.244827586,0.001034483,0.079310345,0.079310345,37,28.8,1405,5.046199288,0.288,0.202135231,0.000854093,3689.605694,891.9166667,535.25,209.3333333,0.634816133,0.380960854,0.148991696
84,高知,高  知,0.36417243,4628.26,25,624,7.417083333,3.275,2370793,高  知,159,63,9,26,0.7,0.254807692,0.001121795,0.100961538,0.100961538,38,31.1,745,6.21242953,0.311,0.213422819,0.000939597,3182.272483,434.1666667,273.4166667,121.8333333,0.582774049,0.367002237,0.163534676
85,福岡,福  岡,0.363168103,27774.675,25,4158,6.679816017,4.925,18972688,福  岡,993,321,6,26,8,0.238816739,0.001924002,0.077200577,0.077200577,39,24.2,5090,5.456714145,0.242,0.195088409,0.001571709,3727.443615,3805.5,2368.75,860.4166667,0.747642436,0.465373281,0.169040602
86,佐賀,佐  賀,0.354236336,4192.925,25,676,6.202551775,3.625,2914773,佐  賀,141,54,7,26,0.8,0.208579882,0.001183432,0.079881657,0.079881657,40,26.1,840,4.991577381,0.261,0.167857143,0.000952381,3469.967857,606.9166667,338.9166667,119.5833333,0.722519841,0.403472222,0.142361111
87,長崎,長  崎,0.362942817,7412.545,25,1144,6.479497378,4,4684291,長  崎,268,90,7,26,1.8,0.234265734,0.001573427,0.078671329,0.078671329,41,27.9,1397,5.306045097,0.279,0.191839656,0.001288475,3353.107373,962,544.4166667,197,0.688618468,0.389704128,0.141016464
88,熊本,熊  本,0.369425094,10462.225,25,1467,7.131714383,4.125,6003599,熊  本,332,106,6,26,2.6,0.226312202,0.001772324,0.072256305,0.072256305,42,27.2,1801,5.809119933,0.272,0.184342032,0.001443642,3333.480844,1314.75,748.25,274.3333333,0.730011105,0.415463631,0.152322784
89,大分,大  分,0.36155506,6953.17,25,971,7.160834192,3.6,4701150,大  分,205,71,6,26,1,0.211122554,0.001029866,0.073120494,0.073120494,43,28.6,1178,5.902521222,0.286,0.174023769,0.000848896,3990.789474,800,476.8333333,178.4166667,0.679117148,0.404782117,0.151457272
90,宮崎,宮  崎,0.363912133,8469.54,25,910,9.307186813,3.25,3855968,宮  崎,265,81,7,26,1.8,0.291208791,0.001978022,0.089010989,0.089010989,44,27.6,1120,7.562089286,0.276,0.236607143,0.001607143,3442.828571,820.8333333,462.4166667,192.3333333,0.732886905,0.412872024,0.17172619
91,鹿児島,鹿児島,0.368096,13789.66,25,1369,10.07279766,4.275,5643870,鹿児島,355,115,7,26,1.8,0.259313367,0.001314828,0.084002922,0.084002922,45,27.8,1680,8.208130952,0.278,0.211309524,0.001071429,3359.446429,1201,686.8333333,262.9166667,0.714880952,0.408829365,0.156498016
92,北海道,北海道,0.367391314,32552.15,24,4572,7.119892826,5.1,18805664,北海道,1145,303,6,25,6.1,0.250437445,0.001334208,0.066272966,0.066272966,0,26,5460,5.961932234,0.26,0.20970696,0.001117216,3444.260806,3192.916667,2211.833333,957.4166667,0.584783272,0.40509768,0.175351038
93,青森,青  森,0.362744529,8963.26,24,1119,8.010062556,5.125,4660944,青  森,311,110,8,25,1,0.27792672,0.000893655,0.098302055,0.098302055,1,27,1350,6.639451852,0.27,0.23037037,0.000740741,3452.551111,758.1666667,481.5833333,193.5833333,0.561604938,0.356728395,0.143395062
94,岩手,岩  手,0.357762766,7842.675,24,1076,7.288731413,3.675,4672776,岩  手,340,73,6,25,1.4,0.31598513,0.001301115,0.067843866,0.067843866,2,27.9,1303,6.018937068,0.279,0.260936301,0.001074444,3586.167306,764.9166667,461.1666667,165.5833333,0.587042722,0.353926836,0.127078537
95,宮城,宮  城,0.355073126,13435.315,24,1911,7.030515437,4.5,9102636,宮  城,458,127,6,25,1.9,0.239665097,0.000994244,0.066457352,0.066457352,3,22.9,2325,5.778630108,0.229,0.196989247,0.000817204,3915.112258,1559.75,1020.166667,328.0833333,0.670860215,0.438781362,0.141111111
96,秋田,秋  田,0.348791463,7149.535,24,896,7.979391741,4.225,3731746,秋  田,277,75,7,25,1.1,0.309151786,0.001227679,0.083705357,0.083705357,4,30.7,1063,6.725809031,0.307,0.260583255,0.001034807,3510.579492,529.4166667,323.9166667,125.4166667,0.498040138,0.304719348,0.117983694
97,山形,山  形,0.349443046,6720.955,24,950,7.074689474,3.325,4191442,山  形,279,82,7,25,1,0.293684211,0.001052632,0.086315789,0.086315789,5,28.3,1152,5.834162326,0.283,0.2421875,0.000868056,3638.404514,688.5833333,404.25,138.3333333,0.597728588,0.350911458,0.120081018
98,福島,福  島,0.349363238,10878.905,24,1607,6.769698195,3.75,7432935,福  島,420,126,7,25,2,0.261356565,0.001244555,0.07840697,0.07840697,6,26.1,1962,5.544803772,0.261,0.214067278,0.001019368,3788.448012,1148.083333,765,266.9166667,0.585159701,0.389908257,0.136043153
99,茨城,茨  城,0.359219154,13669.885,24,2410,5.672151452,3.825,12379271,茨  城,613,205,7,25,1.2,0.254356846,0.000497925,0.085062241,0.085062241,7,23.8,2943,4.644881074,0.238,0.20829086,0.000407747,4206.344207,1899.416667,1191.333333,425.5833333,0.645401518,0.404802356,0.144608676
100,栃木,栃  木,0.35975034,9519.975,24,1632,5.833318015,3.675,8557301,栃  木,444,121,6,25,1,0.272058824,0.000612745,0.074142157,0.074142157,8,23.2,1992,4.779103916,0.232,0.222891566,0.000502008,4295.833835,1314.083333,843.3333333,299.3333333,0.659680388,0.423360107,0.150267738
101,群馬,群  馬,0.359816138,9947.235,24,1624,6.125144704,3.35,8124202,群  馬,492,127,7,25,2.1,0.302955665,0.001293103,0.07820197,0.07820197,9,24.9,1992,4.993591867,0.249,0.246987952,0.001054217,4078.414659,1241.083333,766.9166667,289.8333333,0.623033802,0.384998327,0.145498661
102,埼玉,埼  玉,0.361479395,34458.8,24,5922,5.81877744,4.35,21708892,埼  玉,1486,364,5,25,2.7,0.25092874,0.000455927,0.061465721,0.061465721,10,22,7212,4.777981143,0.22,0.20604548,0.000374376,3010.107044,4725.583333,3023.916667,1112.166667,0.655238954,0.41928961,0.154210575
103,新潟,新  潟,0.340912992,15836.54,24,1940,8.163164948,3.625,9263314,新  潟,605,135,6,25,1.9,0.31185567,0.000979381,0.069587629,0.069587629,11,27.2,2347,6.747567107,0.272,0.257775884,0.000809544,3946.874308,1437,844,274.25,0.612270984,0.35960801,0.1168513
104,長野,長  野,0.352804807,11157.405,24,1740,6.412301724,3.35,8620898,長  野,422,121,6,25,1.9,0.242528736,0.001091954,0.06954023,0.06954023,12,27.4,2132,5.233304409,0.274,0.19793621,0.000891182,4043.573171,1372.75,828.4166667,292,0.643878987,0.388563164,0.1369606
105,千葉,千  葉,0.359308045,29293.055,24,5119,5.722417464,4.025,20385983,千  葉,1217,292,5,25,4.1,0.237741746,0.000800938,0.057042391,0.057042391,13,23.2,6195,4.728499596,0.232,0.196448749,0.000661824,3290.715577,4029,2646.666667,938.8333333,0.650363196,0.427226258,0.151546946
106,東京,東  京,0.368368636,91725.23,24,11209,8.183176911,4.55,97164958,東  京,2620,1061,8,25,9,0.233740744,0.000802926,0.09465608,0.09465608,14,21.3,13230,6.933123961,0.213,0.198034769,0.000680272,7344.290098,8947.833333,7349.166667,2088.916667,0.67632905,0.555492567,0.157892416
107,神奈川,神奈川,0.363160299,41235.225,24,7477,5.51494249,4.4,31939365,神奈川,1606,474,5,25,9,0.214792029,0.001203691,0.06339441,0.06339441,15,21.5,9067,4.547835558,0.215,0.177125841,0.000992611,3522.594574,6244.666667,4253.083333,1392.083333,0.688724679,0.469072828,0.153532958
108,山梨,山  梨,0.360530062,4230.47,24,696,6.078261494,3.275,3485107,山  梨,196,50,6,25,0.6,0.281609195,0.000862069,0.07183908,0.07183908,16,25.6,852,4.965340376,0.256,0.230046948,0.000704225,4090.501174,519.75,326.8333333,131.8333333,0.610035211,0.383607199,0.154733959
109,富山,富  山,0.353979637,5655.565,24,894,6.326135347,2.925,4615835,富  山,241,65,6,25,0.7,0.269574944,0.000782998,0.072706935,0.072706935,17,27.6,1082,5.226954713,0.276,0.222735675,0.00064695,4266.021257,646,398.5,126.8333333,0.597042514,0.368299445,0.117221195
110,石川,石  川,0.354751742,5780.415,24,949,6.091059009,3.35,4939664,石  川,204,52,5,25,1.1,0.214963119,0.001159115,0.054794521,0.054794521,18,25,1163,4.970262253,0.25,0.175408426,0.00094583,4247.346518,779.5833333,463.4166667,144.75,0.670321009,0.398466609,0.124462597
111,福井,福  井,0.358190165,3873.11,24,650,5.958630769,2.675,3380836,福  井,140,46,6,25,0.7,0.215384615,0.001076923,0.070769231,0.070769231,19,26,799,4.847446809,0.26,0.175219024,0.000876095,4231.334168,547.25,303.6666667,104.75,0.684918648,0.380058406,0.131101377
112,岐阜,岐  阜,0.358829407,8434.45,24,1675,5.035492537,3.3,7673721,岐  阜,385,105,5,25,1,0.229850746,0.000597015,0.062686567,0.062686567,20,25.2,2061,4.092406599,0.252,0.186802523,0.000485201,3723.299854,1354.833333,779,271.0833333,0.657366974,0.377971858,0.131530002
113,静岡,静  岡,0.361378474,18027.98,24,3055,5.901139116,3.325,17045901,静  岡,759,227,6,25,3.3,0.248445172,0.001080196,0.074304419,0.074304419,21,24.9,3735,4.826768407,0.249,0.203212851,0.000883534,4563.828916,2539.75,1595.25,566,0.679986613,0.427108434,0.151539491
114,愛知,愛  知,0.367674425,32091.48,24,6011,5.338792214,3.55,37273853,愛  知,1389,363,5,25,4.9,0.23107636,0.000815172,0.060389286,0.060389286,22,21.4,7427,4.320920964,0.214,0.187020331,0.000659755,5018.695705,5626.416667,3522.666667,1110.583333,0.757562497,0.474305462,0.149533235
115,三重,三  重,0.355950121,7732.365,24,1501,5.151475683,3.225,8704357,三  重,348,90,5,25,2.2,0.231845436,0.00146569,0.059960027,0.059960027,23,25.3,1840,4.202372283,0.253,0.189130435,0.001195652,4730.628804,1208.5,744.8333333,270.3333333,0.656793478,0.404800725,0.14692029
116,滋賀,滋  賀,0.352305397,5591.195,24,1132,4.939218198,3.875,6490821,滋  賀,293,63,5,25,1.2,0.258833922,0.001060071,0.05565371,0.05565371,24,21.6,1415,3.951374558,0.216,0.207067138,0.000848057,4587.15265,1089.166667,605,192.25,0.769729093,0.427561837,0.135865724
117,京都,京  都,0.364552732,13313.845,24,2172,6.129762891,4.55,10408910,京  都,498,138,5,25,2,0.229281768,0.00092081,0.063535912,0.063535912,25,24.7,2625,5.071940952,0.247,0.189714286,0.000761905,3965.299048,1664.083333,1092.916667,390.25,0.633936508,0.416349206,0.148666667
118,大阪,大  阪,0.368471718,49840.15,24,7289,6.837721224,5.5,38851996,大  阪,1811,659,8,25,4.3,0.248456578,0.00058993,0.090410207,0.090410207,26,23.7,8856,5.627839883,0.237,0.204494128,0.000485547,4387.081752,6020.833333,3970.583333,1541.25,0.679859229,0.448349518,0.174034553
119,兵庫,兵  庫,0.361970931,27119.36,24,4551,5.958989233,4.575,20188430,兵  庫,1126,365,7,25,4.2,0.24741815,0.000922874,0.080202153,0.080202153,27,24.3,5571,4.867951894,0.243,0.202118112,0.000753904,3623.843116,3836.083333,2333.166667,842.5833333,0.688580745,0.41880572,0.15124454
120,奈良,奈  良,0.35701653,5537.99,24,1138,4.86642355,4.25,3742205,奈  良,252,68,5,25,0.9,0.221441125,0.000790861,0.059753954,0.059753954,28,25.5,1390,3.984165468,0.255,0.181294964,0.000647482,2692.233813,867.1666667,512.8333333,194.3333333,0.623860911,0.368944844,0.139808153
121,和歌山,和歌山,0.359681611,4973.18,24,813,6.117072571,3.6,3734772,和歌山,208,58,6,25,0.8,0.255842558,0.00098401,0.071340713,0.071340713,29,28.4,988,5.033582996,0.284,0.210526316,0.000809717,3780.133603,611.8333333,381.5,164.0833333,0.619264507,0.386133603,0.166076248
122,鳥取,鳥  取,0.352057282,3124.93,24,475,6.5788,3.65,1963816,鳥  取,121,28,5,25,0.6,0.254736842,0.001263158,0.058947368,0.058947368,30,27.2,582,5.369295533,0.272,0.20790378,0.001030928,3374.254296,387.9166667,229.8333333,86,0.666523482,0.394902635,0.147766323
123,島根,島  根,0.347822085,4006.3,24,582,6.883676976,2.675,2521240,島  根,177,45,7,25,0.8,0.304123711,0.00137457,0.077319588,0.077319588,31,30,707,5.666619519,0.3,0.250353607,0.001131542,3566.110325,460.75,258.6666667,83.66666667,0.651697313,0.365865158,0.118340405
124,岡山,岡  山,0.354405562,8735.025,24,1580,5.528496835,3.775,7750586,岡  山,340,130,7,25,2.4,0.215189873,0.001518987,0.082278481,0.082278481,32,26.2,1936,4.511893079,0.262,0.175619835,0.001239669,4003.40186,1350.916667,795.9166667,289.4166667,0.697787535,0.411113981,0.14949208
